Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Age Group,Spending Segment,High Value Customer
1,40,Female,Handbag,Accessories,52,Ohio,L,Orange,Summer,4.2,No,Standard,Yes,Yes,41,Cash,Monthly,36-45,Medium,1
2,25,Male,Gloves,Accessories,27,Virginia,L,Red,Summer,4.1,Yes,Express,Yes,Yes,15,PayPal,Bi-Weekly,18-25,Low,0
3,56,Female,Hat,Accessories,20,Washington,S,Maroon,Summer,2.5,No,2-Day Shipping,No,No,40,Bank Transfer,Quarterly,56-70,Low,0
4,60,Female,Hat,Accessories,24,Virginia,XL,Charcoal,Summer,4.1,No,2-Day Shipping,Yes,Yes,23,Credit Card,Weekly,56-70,Low,0
5,58,Male,Jeans,Clothing,64,New York,M,Blue,Winter,3.3,No,Express,Yes,Yes,29,PayPal,Bi-Weekly,56-70,High,1
6,55,Female,Blouse,Clothing,57,Wisconsin,XL,Beige,Fall,4.4,Yes,Store Pickup,Yes,Yes,27,Credit Card,Every 3 Months,46-55,Medium,1
7,30,Female,Gloves,Accessories,31,Illinois,S,Brown,Fall,3.0,No,Express,No,No,38,Cash,Fortnightly,26-35,Medium,0
8,46,Female,Skirt,Clothing,65,New York,L,Blue,Spring,4.3,Yes,Standard,Yes,Yes,11,PayPal,Every 3 Months,46-55,High,0
9,23,Male,Sandals,Footwear,66,New York,M,Maroon,Spring,4.1,Yes,Free Shipping,No,No,3,Debit Card,Fortnightly,18-25,High,0
10,37,Male,Sweater,Clothing,41,Pennsylvania,S,Red,Fall,4.1,No,Express,Yes,Yes,37,Venmo,Quarterly,36-45,Medium,0
11,44,Male,Coat,Outerwear,72,North Carolina,XL,Blue,Summer,2.9,No,Free Shipping,Yes,Yes,48,Venmo,Fortnightly,36-45,High,1
12,53,Female,Scarf,Accessories,39,Texas,M,Brown,Winter,4.2,No,Free Shipping,No,No,29,Credit Card,Bi-Weekly,46-55,Medium,0
13,23,Male,Hat,Accessories,22,Massachusetts,S,White,Fall,4.3,No,Next Day Air,No,No,6,Cash,Monthly,18-25,Low,0
14,61,Female,Slippers,Footwear,55,Massachusetts,L,Charcoal,Summer,3.7,No,Free Shipping,No,No,6,Credit Card,Quarterly,56-70,Medium,0
15,42,Male,Jacket,Outerwear,79,New Jersey,M,Green,Summer,3.4,Yes,Next Day Air,Yes,Yes,28,Debit Card,Monthly,36-45,High,1
16,64,Male,Shoes,Footwear,29,California,M,Purple,Fall,2.9,No,Standard,No,No,45,Credit Card,Quarterly,56-70,Low,0
17,45,Male,Sneakers,Footwear,52,Texas,XL,Brown,Summer,3.2,Yes,Next Day Air,No,No,31,Debit Card,Bi-Weekly,36-45,Medium,1
18,46,Male,Boots,Footwear,50,Illinois,M,Charcoal,Fall,4.4,No,Standard,Yes,Yes,16,Credit Card,Quarterly,46-55,Medium,0
19,54,Female,Belt,Accessories,50,North Carolina,S,Beige,Winter,3.5,No,Next Day Air,No,No,32,Credit Card,Weekly,46-55,Medium,1
20,61,Male,Skirt,Clothing,20,Arizona,L,Green,Summer,4.3,No,Free Shipping,No,No,8,Venmo,Weekly,56-70,Low,0
21,26,Female,Sneakers,Footwear,49,Illinois,L,Beige,Spring,4.4,No,Express,No,No,24,Bank Transfer,Fortnightly,26-35,Medium,0
22,45,Male,Coat,Outerwear,67,Georgia,S,Green,Summer,4.2,No,Free Shipping,Yes,Yes,50,Cash,Annually,36-45,High,1
23,19,Female,Slippers,Footwear,69,Washington,M,Purple,Spring,4.2,Yes,Free Shipping,No,No,32,PayPal,Quarterly,18-25,High,1
24,43,Female,Blouse,Clothing,44,Washington,M,Brown,Fall,4.0,No,Standard,No,No,6,Debit Card,Bi-Weekly,36-45,Medium,0
25,61,Female,Pants,Clothing,71,Washington,S,Pink,Winter,3.8,No,Standard,No,No,11,Venmo,Quarterly,56-70,High,0
26,63,Male,Jacket,Outerwear,84,Massachusetts,M,Black,Winter,3.0,No,2-Day Shipping,Yes,Yes,3,Cash,Fortnightly,56-70,High,0
27,33,Male,Handbag,Accessories,28,New Jersey,XL,Black,Fall,4.6,Yes,Free Shipping,Yes,Yes,21,PayPal,Every 3 Months,26-35,Low,0
28,38,Male,Sunglasses,Accessories,38,Tennessee,M,Grey,Fall,4.9,No,Express,Yes,Yes,12,Venmo,Bi-Weekly,36-45,Medium,0
29,47,Male,Gloves,Accessories,29,Wisconsin,M,White,Winter,3.7,No,Store Pickup,No,No,49,Credit Card,Quarterly,46-55,Low,0
30,38,Female,Jacket,Outerwear,87,Georgia,XL,Brown,Winter,4.8,No,Store Pickup,No,No,16,Cash,Fortnightly,36-45,High,0
31,27,Female,Slippers,Footwear,35,Pennsylvania,M,Grey,Winter,5.0,No,Free Shipping,Yes,Yes,2,Bank Transfer,Weekly,26-35,Medium,0
32,34,Female,T-shirt,Clothing,32,Ohio,XL,Blue,Spring,3.7,No,2-Day Shipping,Yes,Yes,22,Venmo,Annually,26-35,Medium,0
33,39,Male,Hoodie,Clothing,51,Georgia,L,Red,Summer,4.3,No,Standard,Yes,Yes,37,PayPal,Quarterly,36-45,Medium,1
34,45,Male,Scarf,Accessories,53,Washington,M,Grey,Winter,4.1,Yes,Store Pickup,No,No,35,PayPal,Quarterly,36-45,Medium,1
35,66,Male,Sneakers,Footwear,21,Massachusetts,M,Charcoal,Spring,3.1,No,Next Day Air,Yes,Yes,49,Bank Transfer,Quarterly,56-70,Low,0
36,46,Male,Handbag,Accessories,55,Texas,S,White,Fall,2.6,No,Next Day Air,Yes,Yes,19,Venmo,Annually,46-55,Medium,0
37,38,Male,Shirt,Clothing,42,Wisconsin,S,Grey,Fall,3.6,No,Next Day Air,No,No,27,Credit Card,Weekly,36-45,Medium,0
38,53,Male,Shirt,Clothing,20,California,M,Blue,Summer,4.5,No,Store Pickup,No,No,28,Cash,Annually,46-55,Low,0
