Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,40,Female,Handbag,Accessories,52,Ohio,L,Orange,Summer,4.2,No,Standard,Yes,Yes,41,Cash,Monthly
2,25,Male,Gloves,Accessories,27,Virginia,L,Red,Summer,4.1,Yes,Express,Yes,Yes,15,PayPal,Bi-Weekly
3,56,Female,Hat,Accessories,20,Washington,S,Maroon,Summer,2.5,No,2-Day Shipping,No,No,40,Bank Transfer,Quarterly
4,60,Female,Hat,Accessories,24,Virginia,XL,Charcoal,Summer,4.1,No,2-Day Shipping,Yes,Yes,23,Credit Card,Weekly
5,58,Male,Jeans,Clothing,64,New York,M,Blue,Winter,3.3,No,Express,Yes,Yes,29,PayPal,Bi-Weekly
6,55,Female,Blouse,Clothing,57,Wisconsin,XL,Beige,Fall,4.4,Yes,Store Pickup,Yes,Yes,27,Credit Card,Every 3 Months
7,30,Female,Gloves,Accessories,31,Illinois,S,Brown,Fall,3.0,No,Express,No,No,38,Cash,Fortnightly
8,46,Female,Skirt,Clothing,65,New York,L,Blue,Spring,4.3,Yes,Standard,Yes,Yes,11,PayPal,Every 3 Months
9,23,Male,Sandals,Footwear,66,New York,M,Maroon,Spring,4.1,Yes,Free Shipping,No,No,3,Debit Card,Fortnightly
10,37,Male,Sweater,Clothing,41,Pennsylvania,S,Red,Fall,4.1,No,Express,Yes,Yes,37,Venmo,Quarterly
11,44,Male,Coat,Outerwear,72,North Carolina,XL,Blue,Summer,2.9,No,Free Shipping,Yes,Yes,48,Venmo,Fortnightly
12,53,Female,Scarf,Accessories,39,Texas,M,Brown,Winter,4.2,No,Free Shipping,No,No,29,Credit Card,Bi-Weekly
13,23,Male,Hat,Accessories,22,Massachusetts,S,White,Fall,4.3,No,Next Day Air,No,No,6,Cash,Monthly
14,61,Female,Slippers,Footwear,55,Massachusetts,L,Charcoal,Summer,3.7,No,Free Shipping,No,No,6,Credit Card,Quarterly
15,42,Male,Jacket,Outerwear,79,New Jersey,M,Green,Summer,3.4,Yes,Next Day Air,Yes,Yes,28,Debit Card,Monthly
16,64,Male,Shoes,Footwear,29,California,M,Purple,Fall,2.9,No,Standard,No,No,45,Credit Card,Quarterly
17,45,Male,Sneakers,Footwear,52,Texas,XL,Brown,Summer,3.2,Yes,Next Day Air,No,No,31,Debit Card,Bi-Weekly
18,46,Male,Boots,Footwear,50,Illinois,M,Charcoal,Fall,4.4,No,Standard,Yes,Yes,16,Credit Card,Quarterly
19,54,Female,Belt,Accessories,50,North Carolina,S,Beige,Winter,3.5,No,Next Day Air,No,No,32,Credit Card,Weekly
20,61,Male,Skirt,Clothing,20,Arizona,L,Green,Summer,4.3,No,Free Shipping,No,No,8,Venmo,Weekly
21,26,Female,Sneakers,Footwear,49,Illinois,L,Beige,Spring,4.4,No,Express,No,No,24,Bank Transfer,Fortnightly
22,45,Male,Coat,Outerwear,67,Georgia,S,Green,Summer,4.2,No,Free Shipping,Yes,Yes,50,Cash,Annually
23,19,Female,Slippers,Footwear,69,Washington,M,Purple,Spring,4.2,Yes,Free Shipping,No,No,32,PayPal,Quarterly
24,43,Female,Blouse,Clothing,44,Washington,M,Brown,Fall,4.0,No,Standard,No,No,6,Debit Card,Bi-Weekly
25,61,Female,Pants,Clothing,71,Washington,S,Pink,Winter,3.8,No,Standard,No,No,11,Venmo,Quarterly
26,63,Male,Jacket,Outerwear,84,Massachusetts,M,Black,Winter,3.0,No,2-Day Shipping,Yes,Yes,3,Cash,Fortnightly
27,33,Male,Handbag,Accessories,28,New Jersey,XL,Black,Fall,4.6,Yes,Free Shipping,Yes,Yes,21,PayPal,Every 3 Months
28,38,Male,Sunglasses,Accessories,38,Tennessee,M,Grey,Fall,4.9,No,Express,Yes,Yes,12,Venmo,Bi-Weekly
29,47,Male,Gloves,Accessories,29,Wisconsin,M,White,Winter,3.7,No,Store Pickup,No,No,49,Credit Card,Quarterly
30,38,Female,Jacket,Outerwear,87,Georgia,XL,Brown,Winter,4.8,No,Store Pickup,No,No,16,Cash,Fortnightly
31,27,Female,Slippers,Footwear,35,Pennsylvania,M,Grey,Winter,5.0,No,Free Shipping,Yes,Yes,2,Bank Transfer,Weekly
32,34,Female,T-shirt,Clothing,32,Ohio,XL,Blue,Spring,3.7,No,2-Day Shipping,Yes,Yes,22,Venmo,Annually
33,39,Male,Hoodie,Clothing,51,Georgia,L,Red,Summer,4.3,No,Standard,Yes,Yes,37,PayPal,Quarterly
34,45,Male,Scarf,Accessories,53,Washington,M,Grey,Winter,4.1,Yes,Store Pickup,No,No,35,PayPal,Quarterly
35,66,Male,Sneakers,Footwear,21,Massachusetts,M,Charcoal,Spring,3.1,No,Next Day Air,Yes,Yes,49,Bank Transfer,Quarterly
36,46,Male,Handbag,Accessories,55,Texas,S,White,Fall,2.6,No,Next Day Air,Yes,Yes,19,Venmo,Annually
37,38,Male,Shirt,Clothing,42,Wisconsin,S,Grey,Fall,3.6,No,Next Day Air,No,No,27,Credit Card,Weekly
38,53,Male,Shirt,Clothing,20,California,M,Blue,Summer,4.5,No,Store Pickup,No,No,28,Cash,Annually
39,58,Male,Dress,Clothing,20,North Carolina,M,White,Fall,3.3,Yes,Store Pickup,No,No,2,Debit Card,Monthly
40,40,Male,Shorts,Clothing,22,Michigan,M,Blue,Spring,4.5,No,2-Day Shipping,No,No,1,Venmo,Quarterly
41,43,Male,Coat,Outerwear,74,Pennsylvania,L,Grey,Spring,4.1,No,Free Shipping,Yes,Yes,40,Bank Transfer,Annually
42,29,Female,Coat,Outerwear,74,Illinois,M,Green,Summer,4.2,No,Store Pickup,Yes,Yes,20,Cash,Every 3 Months
43,63,Female,Boots,Footwear,64,Washington,M,Grey,Spring,3.2,Yes,Store Pickup,Yes,Yes,35,Credit Card,Bi-Weekly
44,63,Male,Pants,Clothing,36,California,S,Olive,Summer,3.7,No,Express,No,No,48,PayPal,Annually
45,27,Female,Slippers,Footwear,38,Virginia,M,Beige,Summer,3.0,No,Store Pickup,No,No,13,Bank Transfer,Weekly
46,36,Female,Jeans,Clothing,38,Colorado,L,Orange,Winter,3.1,No,Express,Yes,Yes,39,PayPal,Fortnightly
47,32,Male,Sneakers,Footwear,55,New Jersey,L,Pink,Summer,2.7,No,Express,No,No,11,Credit Card,Fortnightly
48,66,Male,Shirt,Clothing,48,Tennessee,M,Brown,Winter,2.8,No,Express,No,No,38,Cash,Fortnightly
49,21,Female,Sweater,Clothing,33,Indiana,M,Olive,Spring,3.0,No,Standard,No,No,8,Cash,Quarterly
50,28,Male,Shorts,Clothing,58,New York,M,White,Spring,4.0,Yes,Express,No,No,16,PayPal,Bi-Weekly
51,34,Male,Jeans,Clothing,35,Tennessee,L,Purple,Summer,3.6,No,Standard,Yes,Yes,24,Bank Transfer,Every 3 Months
52,47,Male,Sneakers,Footwear,41,Arizona,M,Grey,Summer,3.2,No,Store Pickup,No,No,25,Bank Transfer,Quarterly
53,31,Female,Boots,Footwear,46,New York,L,Yellow,Winter,4.7,No,Standard,No,No,2,Debit Card,Quarterly
54,46,Male,Coat,Outerwear,91,Wisconsin,M,Charcoal,Summer,3.8,No,Free Shipping,No,No,43,Venmo,Every 3 Months
55,57,Female,Sandals,Footwear,53,Tennessee,M,Orange,Summer,4.8,No,Next Day Air,No,No,1,Bank Transfer,Bi-Weekly
56,61,Female,Shorts,Clothing,34,Ohio,M,Orange,Winter,4.1,Yes,Store Pickup,Yes,Yes,45,Cash,Bi-Weekly
57,23,Male,Blouse,Clothing,58,Indiana,S,White,Winter,2.5,No,Next Day Air,No,No,11,Credit Card,Weekly
58,25,Male,Handbag,Accessories,67,Virginia,M,Maroon,Winter,4.8,No,Standard,Yes,Yes,36,Credit Card,Every 3 Months
59,23,Male,Gloves,Accessories,38,North Carolina,M,Brown,Summer,4.6,No,Store Pickup,No,No,36,Cash,Fortnightly
60,66,Male,Pants,Clothing,63,Florida,S,Green,Spring,4.1,No,Standard,Yes,Yes,23,Debit Card,Quarterly
61,52,Male,Dress,Clothing,60,Virginia,XL,Green,Spring,3.8,No,Next Day Air,Yes,Yes,27,Debit Card,Every 3 Months
62,46,Male,Pants,Clothing,35,Missouri,S,Pink,Spring,3.6,Yes,Express,Yes,Yes,4,Debit Card,Bi-Weekly
63,59,Male,Dress,Clothing,45,Florida,L,Beige,Winter,3.7,Yes,Store Pickup,No,No,46,Credit Card,Fortnightly
64,49,Female,Dress,Clothing,25,California,M,Purple,Spring,4.4,No,Free Shipping,No,No,6,Credit Card,Quarterly
65,30,Male,Shoes,Footwear,51,Illinois,M,Maroon,Summer,3.8,No,Next Day Air,Yes,Yes,33,Bank Transfer,Bi-Weekly
66,45,Male,Jewelry,Accessories,25,Ohio,S,Blue,Fall,2.9,No,Express,Yes,Yes,1,Bank Transfer,Every 3 Months
67,55,Male,Handbag,Accessories,28,Georgia,L,Brown,Fall,2.6,No,Store Pickup,Yes,Yes,38,PayPal,Monthly
68,19,Male,Belt,Accessories,23,Wisconsin,L,Maroon,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,18,PayPal,Bi-Weekly
69,50,Male,T-shirt,Clothing,40,Wisconsin,L,Brown,Fall,3.1,No,2-Day Shipping,Yes,Yes,25,Bank Transfer,Every 3 Months
70,44,Male,Shoes,Footwear,62,Colorado,M,Green,Spring,3.4,No,Free Shipping,No,No,2,Debit Card,Bi-Weekly
71,21,Male,Hoodie,Clothing,43,Illinois,S,Yellow,Summer,4.7,No,Express,No,No,11,Debit Card,Every 3 Months
72,31,Male,Sweater,Clothing,20,Illinois,L,Purple,Winter,3.1,No,Express,No,No,22,Bank Transfer,Quarterly
73,41,Female,Hoodie,Clothing,33,Texas,L,Red,Summer,3.3,Yes,Next Day Air,No,No,36,PayPal,Annually
74,36,Male,Skirt,Clothing,22,New Jersey,M,White,Summer,3.1,No,Express,No,No,30,Bank Transfer,Monthly
75,33,Male,Sneakers,Footwear,58,Illinois,L,Grey,Spring,3.9,Yes,Free Shipping,Yes,Yes,14,Credit Card,Weekly
76,52,Male,Shirt,Clothing,52,Indiana,L,Orange,Winter,4.0,No,Standard,Yes,Yes,30,Debit Card,Fortnightly
77,39,Male,Sunglasses,Accessories,38,Massachusetts,M,Blue,Fall,3.8,No,Express,Yes,Yes,12,Credit Card,Weekly
78,44,Male,Hat,Accessories,23,Michigan,L,Beige,Winter,4.9,No,Standard,No,No,28,Bank Transfer,Every 3 Months
79,60,Male,Gloves,Accessories,38,Missouri,S,Beige,Summer,5.0,No,2-Day Shipping,No,No,28,Bank Transfer,Fortnightly
80,22,Female,Jeans,Clothing,37,Florida,S,Yellow,Summer,4.6,No,2-Day Shipping,No,No,12,Venmo,Fortnightly
81,37,Male,Jeans,Clothing,27,Michigan,L,Green,Summer,4.5,No,2-Day Shipping,No,No,11,PayPal,Quarterly
82,21,Male,Gloves,Accessories,46,Ohio,XL,Olive,Spring,3.4,No,Free Shipping,Yes,Yes,26,Debit Card,Fortnightly
83,67,Female,Hat,Accessories,47,Florida,M,Black,Winter,3.9,No,Standard,Yes,Yes,30,Venmo,Annually
84,27,Male,Slippers,Footwear,69,Missouri,S,Blue,Fall,3.4,Yes,Express,No,No,49,Venmo,Annually
85,61,Male,T-shirt,Clothing,35,Massachusetts,S,Brown,Summer,4.5,No,Free Shipping,Yes,Yes,25,PayPal,Monthly
86,28,Male,Shoes,Footwear,72,Florida,M,Charcoal,Fall,2.9,No,Store Pickup,No,No,23,Cash,Quarterly
87,35,Female,Boots,Footwear,47,New York,L,Yellow,Spring,3.0,No,Free Shipping,Yes,Yes,24,Cash,Bi-Weekly
88,50,Male,Hat,Accessories,44,Pennsylvania,S,Brown,Summer,2.6,No,Free Shipping,Yes,Yes,44,Credit Card,Monthly
89,62,Male,Boots,Footwear,47,Tennessee,S,Blue,Summer,4.0,Yes,Next Day Air,Yes,Yes,16,PayPal,Monthly
90,27,Male,Blouse,Clothing,41,New York,L,Charcoal,Winter,4.2,No,Free Shipping,No,No,20,PayPal,Bi-Weekly
91,29,Male,Handbag,Accessories,20,Virginia,S,Pink,Winter,2.5,Yes,Store Pickup,Yes,Yes,19,Venmo,Monthly
92,64,Female,Jewelry,Accessories,30,New York,M,Beige,Winter,3.8,No,2-Day Shipping,No,No,32,Bank Transfer,Fortnightly
93,35,Male,Pants,Clothing,46,Pennsylvania,L,Grey,Summer,3.4,No,Standard,Yes,Yes,35,Debit Card,Quarterly
94,29,Male,Jeans,Clothing,38,Washington,S,Purple,Fall,4.5,Yes,Standard,No,No,25,Bank Transfer,Weekly
95,57,Male,Shirt,Clothing,71,New York,M,Brown,Winter,2.6,No,Store Pickup,No,No,14,Credit Card,Annually
96,22,Male,Hat,Accessories,20,Georgia,S,Yellow,Spring,2.6,No,Next Day Air,No,No,35,Cash,Annually
97,63,Male,Sneakers,Footwear,46,Ohio,M,Olive,Fall,4.1,No,Next Day Air,Yes,Yes,14,Venmo,Fortnightly
98,64,Male,Boots,Footwear,41,California,XL,Maroon,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,45,Cash,Weekly
99,63,Male,Gloves,Accessories,26,California,L,White,Fall,4.6,No,Next Day Air,No,No,32,Bank Transfer,Monthly
100,33,Female,Sweater,Clothing,60,New York,S,Maroon,Summer,4.0,No,Free Shipping,No,No,23,Bank Transfer,Weekly
101,24,Female,Dress,Clothing,67,Virginia,S,Green,Fall,4.9,Yes,Express,Yes,Yes,12,Debit Card,Bi-Weekly
102,40,Female,Scarf,Accessories,24,California,M,Pink,Summer,3.3,No,Express,Yes,Yes,38,Bank Transfer,Every 3 Months
103,35,Male,Boots,Footwear,44,Washington,L,Yellow,Winter,3.5,Yes,Store Pickup,Yes,Yes,31,Bank Transfer,Bi-Weekly
104,68,Female,Blouse,Clothing,27,California,L,Brown,Winter,4.9,No,Free Shipping,No,No,45,Bank Transfer,Annually
105,51,Female,Handbag,Accessories,54,Illinois,L,Yellow,Fall,2.8,No,Store Pickup,Yes,Yes,36,Credit Card,Weekly
106,68,Female,Shirt,Clothing,61,Florida,S,Yellow,Summer,4.5,No,Express,Yes,Yes,40,Debit Card,Quarterly
107,57,Male,Jewelry,Accessories,33,Pennsylvania,XL,Pink,Spring,2.5,No,Store Pickup,No,No,5,Bank Transfer,Monthly
108,55,Male,Jewelry,Accessories,20,Virginia,L,Blue,Spring,3.7,No,Next Day Air,No,No,2,Bank Transfer,Fortnightly
109,23,Male,Scarf,Accessories,20,North Carolina,M,Yellow,Summer,2.9,No,Store Pickup,No,No,33,Bank Transfer,Monthly
110,21,Female,Sneakers,Footwear,57,California,M,Black,Winter,4.0,No,Store Pickup,No,No,1,Debit Card,Fortnightly
111,20,Male,Skirt,Clothing,53,New York,M,Black,Winter,4.5,Yes,Standard,No,No,45,Venmo,Quarterly
112,49,Male,Backpack,Accessories,20,Pennsylvania,M,Orange,Fall,2.6,No,2-Day Shipping,No,No,45,Debit Card,Annually
